exchange,symbol,ticker,name,isin,currency,source,asof_date
NSE,ATLASCYCLE,ATLASCYCLE.NS,Atlas Cycles (Haryana) Limited,INE446A01025,INR,NSE:EQUITY_L,2026-02-18
NSE,ATUL,ATUL.NS,Atul Limited,INE100A01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ATULAUTO,ATULAUTO.NS,Atul Auto Limited,INE951D01028,INR,NSE:EQUITY_L,2026-02-18
NSE,AUBANK,AUBANK.NS,AU Small Finance Bank Limited,INE949L01017,INR,NSE:EQUITY_L,2026-02-18
NSE,AURIGROW,AURIGROW.NS,Auri Grow India Limited,INE925Y01036,INR,NSE:EQUITY_L,2026-02-18
NSE,AURIONPRO,AURIONPRO.NS,Aurionpro Solutions Limited,INE132H01018,INR,NSE:EQUITY_L,2026-02-18
NSE,AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Limited,INE406A01037,INR,NSE:EQUITY_L,2026-02-18
NSE,AURUM,AURUM.NS,Aurum PropTech Limited,INE898S01029,INR,NSE:EQUITY_L,2026-02-18
NSE,AUSOMENT,AUSOMENT.NS,Ausom Enterprise Limited,INE218C01016,INR,NSE:EQUITY_L,2026-02-18
NSE,AUTOAXLES,AUTOAXLES.NS,Automotive Axles Limited,INE449A01011,INR,NSE:EQUITY_L,2026-02-18
NSE,AUTOIND,AUTOIND.NS,Autoline Industries Limited,INE718H01014,INR,NSE:EQUITY_L,2026-02-18
NSE,AVADHSUGAR,AVADHSUGAR.NS,Avadh Sugar & Energy Limited,INE349W01017,INR,NSE:EQUITY_L,2026-02-18
NSE,AVALON,AVALON.NS,Avalon Technologies Limited,INE0LCL01028,INR,NSE:EQUITY_L,2026-02-18
NSE,AVANTEL,AVANTEL.NS,Avantel Limited,INE005B01027,INR,NSE:EQUITY_L,2026-02-18
NSE,AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Limited,INE871C01038,INR,NSE:EQUITY_L,2026-02-18
